id,project_id,name,initial_investment,operating_costs,expected_revenue,duration_months,roi,project_date
proj_950,project_id:03,Project 950,103901.07460691858,"[5520.454845306944, 5130.764272261791, 4567.829663542543, 6419.631362952248, 6744.144581896955, 6707.994863293409, 4263.382499905111, 5582.98308639183, 6705.3570327995285, 5978.250693152389, 5564.319644475586, 4154.088806281858, 5248.582978272879, 4309.971858851364, 6011.085399680471, 4807.793275123921, 5538.128816955803, 6961.689376423414]","[10905.130669125954, 9674.499626831308, 10159.149044018655, 11278.158371747719, 9820.432503150565, 10124.815828419283, 10027.50475093289, 9691.477991133905, 10599.186851654356, 9533.69842421293, 10270.066558336222, 8352.383650371974, 8099.8129500508585, 10939.3503762469, 9952.560181027442, 10995.017134485479, 10828.937419918144, 9164.940637873746]",18,-22.81054819174134,2020-03-22 12:14:32.034785
proj_265,project_id:03,Project 265,93583.9147746445,"[4302.863846330136, 6218.189986851632, 4873.472617599316, 6644.514607722316, 5430.627846674371, 5126.044772139945, 6061.049887518493, 5155.902254711447, 5895.011394824126, 6894.80323134802, 4298.909345612928, 5928.3898356594955, 4387.656931292769, 4229.792248275941, 4034.8460746980813, 4571.169562040415, 4349.625324400833, 6869.466366374802, 6255.939839663359, 6876.530019057178, 6126.518474567869, 6868.27256143173, 6638.642796603825, 6976.978080192095]","[11337.435894924798, 11821.271916244525, 10614.421243270534, 8535.746111890958, 11697.159056845605, 11285.550064144467, 8546.969427102877, 11417.891131731983, 9412.194747743413, 9068.25922563789, 10643.797820160773, 8701.69965670234, 11148.378569771832, 11577.54011603697, 9137.85482265067, 11221.180964246341, 8492.064517626734, 11743.029635086112, 9766.76312452417, 10470.491706341705, 8623.016796243923, 10132.809515414443, 8510.752263243898, 11728.151730988991]",24,18.203232274865126,2020-03-23 12:14:32.009155
proj_12,project_id:03,Project 12,147988.16956676604,"[5386.519383401552, 5560.953313025137, 5532.2388268681525, 5445.679913894653, 5641.60856339343, 6226.608699201914, 4830.9192415461885, 6099.80452394914, 5529.065852689563, 4416.861957957364, 5237.961562454364, 4063.9098933090177, 5559.836010931734, 6005.576806879895, 4956.03442910479, 6142.835627162079, 5076.075411611066]","[10652.569209375153, 11302.346693936299, 8187.6365728845785, 8068.710589868933, 8581.698903706656, 10738.263923078222, 9481.429507579187, 10456.772095471662, 11368.395394420295, 10212.015847694605, 11679.324552871763, 8799.211230919811, 9983.5000579617, 8941.959586979136, 11328.946841856048, 8932.140825170418, 8678.826644616298]",17,-48.859926653213634,2020-03-27 12:14:32.002145
proj_871,project_id:03,Project 871,89510.92845917614,"[4524.444588289433, 4233.183542810872, 4416.476059194724, 6373.303152500603, 6325.428554837348, 6889.922945473978, 5784.282645669031, 5440.9169342526275, 6290.644728464128, 4607.639050089778, 6495.19812261611, 5319.281896445978, 4770.95070754155, 5110.314811360057, 5375.812413274354, 5753.330707459838, 4051.857649124979, 6913.785575273525, 4812.667012531398]","[11282.843286576244, 10150.58510780568, 8088.726391841359, 8705.678121540388, 8495.325455074644, 8001.739560422722, 11102.955489114418, 9828.332260586343, 10080.593721200965, 11113.339983588035, 8412.575939929076, 10450.015750163859, 11699.495523942333, 9364.753460980855, 11230.80189259257, 11835.755073479882, 8063.731071043386, 8961.089366841852, 8992.630796865975]",19,-7.976010779568635,2020-03-27 12:14:32.029189
proj_5,project_id:03,Project 5,81661.34141923016,"[6542.091325641616, 5485.087170908378, 5631.379146379107, 4814.130168722388, 4920.907627573675, 6140.469401100265, 5212.992583381491, 4504.279504772818, 6055.599054558423, 4038.774717357922, 6145.222979078288, 5195.3220474492855, 5244.578736263906, 6151.987983124336, 5951.128449459271, 4799.115017618489, 6198.5999214952035, 4131.600433081324, 4621.323214503023, 4596.234865161945]","[8176.28747857394, 11329.893490510392, 8455.821039904768, 8872.289594025358, 10988.147920547519, 11036.519477677517, 10735.721280442121, 8153.728924451323, 8545.642788216668, 8712.699726488663, 10419.370231656369, 9733.159961808633, 8649.869080666293, 9627.825980576943, 9084.517499929283, 10175.720308093983, 9557.24034131823, 9131.420902602647, 10954.704914617698, 10531.859192010825]",20,5.915007374738555,2020-03-30 12:14:32.002145
proj_44,project_id:03,Project 44,57096.60116075266,"[4449.3976333685805, 5170.336595407221, 6668.861431634487, 4230.214576073675, 4903.639939610485, 5904.221184423724, 4212.071851882198, 4487.6460446945275, 5576.475213459231, 4191.8300459145985, 6652.525755339169, 4503.673044187515, 4129.93999534427, 5173.824824183121, 5241.399294272567, 5338.696565363193, 6660.615492681024, 4044.402277017454, 6705.717798787424]","[10878.616307903752, 8823.861262453163, 9821.0385124459, 10935.200602456996, 9294.21974635165, 9444.241833522337, 10021.646384238844, 10676.263722203315, 10911.169440000038, 10342.581104848305, 9797.880803254118, 10957.527579971578, 8983.61097912043, 10040.115754762432, 11333.340535764713, 8839.154628332595, 8399.02978941166, 8563.482144092663, 8966.077128920198]",19,55.49711697627055,2020-03-30 12:14:32.003156
proj_192,project_id:03,Project 192,73113.04969793498,"[6249.248336198949, 5210.622842524089, 6010.901323919215, 5808.3389699416575, 6316.537244114845, 4563.585236038276, 5892.661969735082, 6601.535973954088, 5733.949879316924, 5522.254092569327, 4012.3849295651585, 6078.515648933588, 4212.737154941461]","[8527.663804396245, 9209.816790788904, 8109.507630355539, 9322.045463955901, 10733.784734427285, 11963.203071433703, 11748.86273410598, 9987.71213475872, 8342.329966294426, 8631.061588262204, 9662.102126773725, 8917.623159627728, 9934.978132920578]",13,-27.677182179090863,2020-04-02 12:14:32.007154
proj_374,project_id:03,Project 374,80278.33808130483,"[6410.409876413425, 4858.307681412468, 6890.606108777023, 6298.236352437507, 5208.110833309673, 6946.922081354189, 5676.57990074618, 4011.733811217488, 5531.271901676868, 4356.784949191796, 6393.987459894316, 6595.62743540281, 4078.2741905592857, 5801.756554978618, 4007.029096772261, 4352.9911902105105, 4643.752579817759, 5570.53498110004]","[8952.481181428831, 8230.84575293584, 9529.418514483468, 8944.782189175201, 11456.150064800788, 9883.955533345124, 9543.37709295884, 9088.70564152346, 8170.961599393065, 10913.272725305678, 8145.742496554217, 8813.540352460086, 8213.424922131755, 9408.23214159534, 10681.890796859458, 11313.987771683358, 11640.037788489146, 10332.848721198901]",18,-5.7893572429806355,2020-04-03 12:14:32.013186
proj_475,project_id:03,Project 475,74690.91959105655,"[6624.083929496761, 6956.180708538177, 6415.050635429726, 6374.734984878051, 5085.238934428069, 4894.870165807421, 5589.46934132026, 4284.762401218928, 4560.3253431942185, 5834.688647357272, 4371.316536179709, 4417.004726244839, 5208.876690452892, 4887.75087129661, 6092.618744705463, 4287.419631038294, 5242.383974340194, 4793.240271214242, 6361.3818669431175, 6148.08639722541, 5807.630749006414, 4919.493727481156, 6739.576085494276, 5093.7193229429795, 6714.508990032812, 6750.513796743624, 5716.305604327601, 5303.387361650877, 4175.834479964128, 5392.9633702354295, 6657.147907042657, 4791.426997652877, 4344.864659308496, 6457.785250169973, 4871.217274551678, 6523.48452809029]","[9442.190229461528, 9030.174007204934, 8499.776820248639, 10482.611924491659, 9394.781076592459, 11558.01746461071, 9425.633818453061, 10710.04579138678, 8889.179113150514, 9248.841953887966, 8037.384833653005, 9818.189468994817, 11913.939380311038, 8524.895692753826, 9082.339580455846, 8717.88128116947, 11299.671959100526, 9513.02838701406, 9543.476342877213, 8575.242445543923, 10677.249117467165, 8137.050753131561, 11130.542732303853, 11223.392095554553, 9093.833200024084, 10471.829976647738, 9025.156174095113, 11534.211725607067, 9858.577865862342, 11532.74557068101, 11215.770644387247, 11915.617438584633, 10085.450749201143, 11629.540909185243, 8643.370692282519, 9373.112815543898]",36,112.29543027999182,2020-04-03 12:14:32.016193
proj_563,project_id:03,Project 563,84133.50972024575,"[4480.3535814853, 6318.79715496957, 6773.775897844776, 5991.966001989471, 6624.822031900612, 6892.774251897603, 6667.167767458087, 5424.971057346232, 5196.198700864531, 5990.598524181928, 4996.108208552884, 6226.159322009554, 5994.469163614732, 6807.193548419416, 6865.07557867546, 6935.125791393728, 6983.388152195928, 4181.349231685199, 5779.647957122286, 4275.6431970525355, 6809.746947501212, 5751.805228108391, 4971.396820619487, 6093.607954384332, 6252.320147675501, 4777.252988987421, 6661.167994689549, 6329.812755382634, 6442.924625281644, 6087.246121329406, 4708.910813814691]","[10746.616554330667, 10746.46536541069, 9842.224526324007, 9026.179616801699, 8791.133572119517, 9845.889336144495, 10427.755486226364, 9607.724456781052, 8850.655708053044, 9263.118870542137, 10134.94011003304, 11415.549857061507, 9973.096992826144, 9733.034077526925, 9619.279920220592, 9095.18755040451, 8954.422671055983, 10350.251513327012, 9542.055689275749, 9221.308611161468, 10634.53126861406, 8948.670554851922, 11829.079099324226, 10286.554222793502, 8843.333617719536, 10783.77588183013, 9561.889170680299, 10616.890788810078, 11299.567365310442, 8842.532342166298, 9162.172082828947]",31,44.65592813945726,2020-04-03 12:14:32.019227
